#1:StepCounter[lambda=10] 2:tau[lambda=10] 3:T(\tau)[lambda=10] 4:wTilde[lambda=10]
8550 2.93584 0.3335 0.078374
8650 2.98473 0.332072 0.079338
8750 3.03465 0.330644 0.0803182
8900 3.1116 0.328499 0.0818205
9000 3.16433 0.327067 0.0828443
9100 3.2183 0.325632 0.0838875
9200 3.27353 0.324193 0.0849501
9300 3.33009 0.322751 0.0860334
9400 3.38783 0.321309 0.0871343
9500 3.44697 0.319864 0.0882566
9600 3.50735 0.31842 0.0893972
9700 3.56913 0.316975 0.0905588
9800 3.63227 0.315529 0.0917404
9900 3.69691 0.31408 0.0929445
10000 3.76314 0.312629 0.0941723
10100 3.83091 0.311176 0.0954226
10250 3.93553 0.308994 0.0973413
10350 4.00734 0.307537 0.0986502
10450 4.08094 0.306078 0.0999853
10550 4.15642 0.304615 0.101348
10650 4.23365 0.303151 0.102735
10750 4.31262 0.301689 0.104146
10850 4.39349 0.300225 0.105584
10950 4.47649 0.298757 0.107053
11050 4.56154 0.297287 0.10855
11150 4.64849 0.295819 0.110073
11250 4.73783 0.294346 0.11163
11350 4.82923 0.292874 0.113214
11450 4.92291 0.2914 0.11483
11550 5.01888 0.289926 0.116476
11650 5.11725 0.288451 0.118155
11750 5.21818 0.286974 0.119869
11850 5.3216 0.285496 0.121615
12000 5.48172 0.283277 0.1243
12100 5.59172 0.281798 0.126133
12200 5.70477 0.280316 0.128006
12300 5.8208 0.278831 0.129918
12400 5.93974 0.277347 0.131867
12500 6.06177 0.275862 0.133855
12600 6.18691 0.274377 0.135883
12700 6.31524 0.272892 0.137951
12800 6.44707 0.271405 0.140063
12900 6.58255 0.269916 0.142222
13000 6.72131 0.268429 0.14442
13100 6.86382 0.26694 0.146664
13200 7.00975 0.265455 0.148949
13300 7.15993 0.263966 0.151287
13400 7.31395 0.262479 0.15367
13500 7.47227 0.260989 0.156106
13600 7.63509 0.259497 0.158596
13700 7.80187 0.258009 0.161131
13800 7.97325 0.256521 0.16372
13900 8.14939 0.255031 0.166365
14000 8.3304 0.253541 0.169067
14100 8.51613 0.252053 0.171822
14200 8.70708 0.250564 0.174637
14300 8.90375 0.249072 0.177518
14400 9.10566 0.247582 0.180457
14500 9.3129 0.246094 0.183455
14600 9.52681 0.244601 0.18653
14700 9.74611 0.243112 0.189662
14800 9.97178 0.241622 0.192865
14900 10.2031 0.240137 0.196126
15000 10.4417 0.238648 0.199468
15100 10.6868 0.237161 0.202878
15200 10.9391 0.235674 0.206365
15300 11.1987 0.234187 0.20993
15400 11.4653 0.232703 0.213566
15500 11.7399 0.231219 0.217286
15550 11.8801 0.230477 0.219175
15650 12.166 0.228998 0.223009
15750 12.4604 0.227518 0.22693
15850 12.7636 0.226037 0.230939
15950 13.075 0.224562 0.235029
16050 13.3961 0.223085 0.239217
16150 13.7266 0.221609 0.243497
16250 14.0666 0.220135 0.247869
16350 14.4163 0.218664 0.252334
16450 14.7767 0.217194 0.256903
16550 15.1484 0.215722 0.26158
16650 15.5304 0.214255 0.266353
16750 15.9238 0.21279 0.271233
16850 16.3297 0.211324 0.27623
16950 16.7472 0.209862 0.281333
17000 16.9604 0.209133 0.283924
17100 17.3964 0.207675 0.289193
17200 17.8457 0.20622 0.294583
17300 18.3098 0.204762 0.300108
17400 18.7871 0.20331 0.305747
17500 19.2789 0.20186 0.311513
17600 19.7859 0.200412 0.317412
17700 20.3096 0.198963 0.323458
17800 20.8484 0.197519 0.32963
17850 21.124 0.196799 0.332768
17950 21.6884 0.195358 0.339158
18050 22.2701 0.19392 0.345691
18150 22.8701 0.192484 0.352377
18250 23.4899 0.191049 0.359228
18350 24.1294 0.189616 0.36624
18450 24.7881 0.188188 0.373404
18550 25.4672 0.186764 0.38073
18600 25.8149 0.186052 0.384458
18700 26.5259 0.184634 0.392035
18800 27.2603 0.183216 0.399795
18900 28.0175 0.181803 0.407732
19000 28.7999 0.180391 0.415863
19100 29.6064 0.178985 0.424176
19200 30.4401 0.177579 0.432696
19250 30.8679 0.176877 0.43704
19350 31.7424 0.175476 0.445864
19450 32.6455 0.174079 0.454898
19550 33.5783 0.172685 0.46415
19650 34.5413 0.171295 0.473617
19750 35.5382 0.169906 0.483334
19800 36.0477 0.169214 0.488267
19900 37.0654 0.167868 0.498058
20000 38.1432 0.166491 0.508336
20100 39.2581 0.165116 0.518874
20200 40.4095 0.163746 0.529661
20300 41.5983 0.162381 0.540697
20350 42.2085 0.161699 0.546324
20450 43.4577 0.16034 0.557766
20550 44.7469 0.158987 0.569467
20650 46.0835 0.157635 0.581488
20750 47.4646 0.156287 0.593795
20800 48.172 0.155615 0.600055
20900 49.621 0.154277 0.612789
21000 51.1191 0.152944 0.625833
21100 52.6671 0.151616 0.639186
21200 54.2707 0.15029 0.652889
21250 55.0918 0.14963 0.659856
21350 56.776 0.148313 0.674045
21450 58.5183 0.147001 0.688583
21550 60.3195 0.145695 0.703471
21650 62.1831 0.144394 0.718727
21700 63.1409 0.143743 0.726512
21800 65.1036 0.142449 0.742348
21900 67.1343 0.141159 0.758574
22000 69.2339 0.139876 0.775186
22100 71.4034 0.1386 0.792185
22150 72.5179 0.137963 0.800853
22250 74.8027 0.136695 0.818491
22350 77.168 0.135432 0.83657
22450 79.6151 0.134175 0.855089
22550 82.1481 0.132924 0.874066
22600 83.4478 0.1323 0.883731
22700 86.1142 0.131058 0.903408
22800 88.8712 0.129824 0.923548
22900 91.7216 0.128597 0.94416
23000 94.6737 0.127375 0.965291
23050 96.188 0.126767 0.976047
23150 99.2956 0.125555 0.997951
23250 102.506 0.124353 1.02035
23350 105.834 0.123155 1.04333
23450 109.281 0.121963 1.06688
23500 111.049 0.121369 1.07887
23600 114.675 0.120189 1.10326
23700 118.436 0.119013 1.12829
23800 122.322 0.117847 1.15389
23850 124.313 0.117267 1.1669
23950 128.401 0.116112 1.19341
24050 132.64 0.114962 1.2206
24150 137.023 0.113821 1.24842
24250 141.562 0.112687 1.27692
24300 143.889 0.112123 1.29142
24400 148.671 0.111 1.32097
24500 153.615 0.109886 1.3512
24600 158.737 0.108778 1.38217
24700 164.041 0.107677 1.4139
24750 166.768 0.107129 1.43009
24850 172.353 0.10604 1.46296
24950 178.133 0.104959 1.49661
25050 184.12 0.103886 1.53109
25150 190.308 0.102822 1.56634
25200 193.49 0.102292 1.58432
25300 200.01 0.10124 1.62086
25400 206.772 0.100193 1.65834
25500 213.76 0.0991563 1.69664
25550 217.347 0.0986406 1.71614
25650 224.709 0.0976158 1.75584
25750 232.331 0.0965989 1.79648
25850 240.219 0.0955902 1.83808
25950 248.368 0.0945916 1.88058
26000 252.56 0.094094 1.90226
26100 261.148 0.0931068 1.94631
26200 270.049 0.0921268 1.99146
26300 279.253 0.0911558 2.03763
26350 283.973 0.0906734 2.06111
26450 293.652 0.0897161 2.10886
26550 303.683 0.0887657 2.15779
26600 308.836 0.0882929 2.18272
26700 319.395 0.0873552 2.23337
26750 324.795 0.0868908 2.25906
26850 335.892 0.0859671 2.3114
26900 341.591 0.0855078 2.33806
27000 353.279 0.0845959 2.39227
27050 359.269 0.0841436 2.41983
