#1:StepCounter[lambda=10] 2:tau[lambda=10] 3:T(\tau)[lambda=10] 4:wTilde[lambda=10]
8550 2.93662 0.333477 0.078429
8650 2.98544 0.332052 0.0793922
8750 3.03538 0.330624 0.0803731
8850 3.08649 0.329192 0.0813725
8950 3.13867 0.32776 0.0823882
9100 3.21921 0.325607 0.0839474
9200 3.27447 0.324169 0.0850111
9300 3.33101 0.322728 0.0860946
9400 3.38879 0.321285 0.0871965
9500 3.44792 0.319841 0.0883192
9600 3.50835 0.318397 0.0894613
9700 3.57023 0.316949 0.0906253
9800 3.63344 0.315502 0.0918087
9900 3.69809 0.314054 0.0930134
10000 3.76383 0.312614 0.0942327
10100 3.83153 0.311162 0.0954823
10200 3.90112 0.309703 0.0967606
10300 3.97218 0.308246 0.0980597
10450 4.08181 0.306061 0.100052
10550 4.15722 0.304599 0.101413
10650 4.23456 0.303134 0.102803
10750 4.31361 0.30167 0.104217
10850 4.39451 0.300206 0.105656
10950 4.47766 0.298736 0.107128
11050 4.56253 0.29727 0.108623
11150 4.64958 0.2958 0.110148
11250 4.73874 0.294331 0.111702
11350 4.82999 0.292861 0.113285
11450 4.92373 0.291387 0.114902
11550 5.01983 0.289912 0.116552
11650 5.11834 0.288435 0.118234
11750 5.21929 0.286958 0.119948
11850 5.32273 0.28548 0.121695
11950 5.42868 0.284003 0.123476
12050 5.53743 0.282523 0.125293
12150 5.64903 0.281042 0.127148
12250 5.76359 0.279558 0.129041
12400 5.94089 0.277333 0.131952
12500 6.06295 0.275848 0.133942
12600 6.18798 0.274364 0.135969
12700 6.31613 0.272882 0.138035
12800 6.44804 0.271394 0.14015
12900 6.5832 0.269908 0.142304
13000 6.72209 0.26842 0.144505
13100 6.86478 0.26693 0.146753
13200 7.01117 0.265441 0.149047
13300 7.16149 0.263951 0.151387
13400 7.31572 0.262462 0.153775
13500 7.47415 0.260972 0.156214
13600 7.63685 0.259481 0.158703
13700 7.80399 0.257991 0.161244
13800 7.97542 0.256502 0.163836
13900 8.15164 0.255012 0.166483
14000 8.33262 0.253523 0.169185
14100 8.51876 0.252032 0.171948
14200 8.70944 0.250546 0.17476
14300 8.9058 0.249057 0.177638
14400 9.10776 0.247567 0.180579
14500 9.31507 0.246079 0.18358
14600 9.52864 0.244588 0.186651
14700 9.74794 0.243099 0.189784
14800 9.97314 0.241613 0.192981
14900 10.2053 0.240123 0.196256
15000 10.4438 0.238635 0.199598
15100 10.6888 0.23715 0.203009
15200 10.941 0.235663 0.206497
15300 11.2006 0.234177 0.210063
15350 11.3334 0.233432 0.211878
15450 11.6041 0.231948 0.215559
15550 11.8829 0.230463 0.219324
15650 12.1693 0.228981 0.223166
15750 12.4645 0.227498 0.227099
15850 12.7681 0.226016 0.231116
15950 13.0802 0.224538 0.235217
16050 13.402 0.223059 0.239416
16150 13.7324 0.221584 0.243696
16250 14.0727 0.22011 0.248074
16350 14.4227 0.218639 0.252544
16450 14.7832 0.217169 0.257116
